History Channel Functions Measurement Report

Measurements started at Date: 28-Oct-2023 Time: 19:01:37

Spectrometer ID : 2108340U2
Integration Time: 100,00 ms
Averages        : 10 scans

Description of the Function:

Integral: between  344,00 and  360,00 nm. Multiplied with:  1,0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
19:37:55   2180,028     207335,7708
19:38:00   2185,196     207446,4429
19:38:05   2190,365     207532,8166
19:38:10   2195,537     207580,9279
19:38:15   2200,673     207826,4793
19:38:21   2205,809     207961,8829
19:38:26   2210,941     208092,3902
19:38:31   2216,114     208223,2979
19:38:36   2221,249     208534,4689
19:38:41   2226,420     208787,9438
19:38:46   2231,558     208960,1457
19:38:52   2236,729     209207,9970
19:38:57   2241,902     209586,1617
19:39:02   2247,044     210030,4709
19:39:07   2252,178     210310,5011
19:39:12   2257,349     210633,8417
19:39:17   2262,519     210883,2695
19:39:22   2267,654     211449,2860
19:39:28   2272,825     211738,2475
19:39:33   2277,999     212248,6271
19:39:38   2283,173     212708,9096
19:39:43   2288,348     213206,3622
19:39:48   2293,528     213863,7113
19:39:53   2298,667     214161,9537
19:39:59   2303,805     214492,5972
19:40:04   2308,984     215058,5554
19:40:09   2314,125     215643,8063
19:40:14   2319,297     216007,1622
19:40:19   2324,471     216684,6398
19:40:24   2329,609     216931,2136
19:40:30   2334,757     217523,2255
19:40:35   2339,931     218077,3558
19:40:40   2345,073     218479,4295
19:40:45   2350,210     219086,5874
19:40:50   2355,373     219450,2880
19:40:55   2360,517     219978,7211
19:41:01   2365,696     220278,5694
19:41:06   2370,840     220587,0445
19:41:11   2375,986     220808,9367
19:41:16   2381,129     221193,2965
19:41:21   2386,304     221436,9307
19:41:26   2391,481     221970,0246
19:41:31   2396,627     222028,9587
19:41:37   2401,803     222302,5385
19:41:42   2406,986     222565,0010
19:41:47   2412,161     222705,7261
19:41:52   2417,320     222874,7376
19:41:57   2422,499     222778,4016
19:42:02   2427,647     222653,4815
19:42:08   2432,825     222521,5860
19:42:13   2438,005     222696,4045
19:42:18   2443,182     222488,7564
19:42:23   2448,329     222571,1611
19:42:28   2453,476     222227,7797
19:42:33   2458,626     222105,1273
19:42:39   2463,805     221990,2681
19:42:44   2468,952     221746,8709
19:42:49   2474,132     221351,7691
19:42:54   2479,304     221160,4481
19:42:59   2484,475     220685,0630
19:43:04   2489,653     220350,5714
19:43:10   2494,791     219925,8012
19:43:15   2499,973     219437,1749
19:43:20   2505,155     218906,6091
19:43:25   2510,334     218534,9221
19:43:30   2515,515     217936,9054
19:43:35   2520,665     217594,9469
19:43:41   2525,849     217351,0152
19:43:46   2531,030     216670,6932
19:43:51   2536,215     216172,9602
19:43:56   2541,358     215913,6439
19:44:01   2546,496     215457,2581
19:44:06   2551,644     215013,1762
