History Channel Functions Measurement Report

Measurements started at Date: 06-May-2023 Time: 14:20:27

Spectrometer ID : 0706001U1
Integration Time: 100.00 ms
Averages        : 8 scans

Description of the Function:

Integral: between  340.00 and  360.00 nm. Multiplied with:  1.0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
06:42:35  58929.802     251603.7236
06:42:45  58939.813     251460.7878
06:42:55  58949.859     251288.3933
06:43:05  58959.899     251091.9670
06:43:15  58969.979     251943.9675
06:43:25  58980.037     251360.5685
06:43:35  58990.058     251433.0581
06:43:45  59000.113     251630.7641
06:43:56  59010.438     251505.9250
06:44:06  59020.459     250988.1624
06:44:16  59030.499     251420.1557
06:44:26  59040.847     251175.1132
06:44:36  59050.871     251328.5618
06:44:47  59061.233     250869.8633
06:44:57  59071.271     251851.0548
06:45:07  59081.311     251353.4282
06:45:17  59091.350     251223.1197
06:45:27  59101.396     251708.3707
06:45:37  59111.425     251673.6437
06:45:47  59121.447     251423.6916
06:45:57  59131.512     251495.3119
06:46:07  59141.832     251286.4073
06:46:17  59151.873     251389.6717
06:46:27  59161.902     251791.3559
06:46:37  59171.954     251418.7145
06:46:47  59181.964     251197.2048
06:46:57  59192.016     251706.7936
06:47:07  59202.059     251383.1243
06:47:17  59212.109     251640.5619
06:47:27  59222.151     251644.4057
06:47:38  59232.205     251633.3569
06:47:48  59242.228     251690.5839
06:47:58  59252.244     251136.0297
06:48:08  59262.272     251464.0519
06:48:18  59272.603     251583.2434
06:48:29  59283.254     251750.0570
06:48:39  59293.310     251579.9418
06:48:49  59303.385     251574.4595
06:48:59  59313.416     251767.9284
06:49:09  59323.488     251643.9296
06:49:19  59333.510     251467.6063
06:49:29  59343.864     251676.4971
06:49:39  59353.914     251646.5170
06:49:49  59363.963     252065.9861
06:49:59  59373.979     251428.6216
06:50:09  59384.027     251915.2201
06:50:19  59394.078     251574.9819
06:50:29  59404.151     251816.9573
06:50:39  59414.161     251892.5788
06:50:49  59424.186     251756.1654
06:51:00  59434.542     251748.5155
06:51:10  59444.873     251353.3938
06:51:20  59454.905     251761.7464
06:51:31  59465.272     251881.4915
06:51:41  59475.324     251609.2558
06:51:51  59485.365     251728.0654
06:52:01  59495.415     251547.6697
06:52:11  59505.449     251851.9251
06:52:21  59515.504     251482.4468
06:52:31  59525.543     252203.2567
06:52:41  59535.581     251811.0276
06:52:51  59545.663     251848.8145
06:53:01  59555.695     251946.2578
06:53:11  59565.721     251645.8704
06:53:21  59575.762     252065.2952
06:53:31  59586.112     251514.0211
06:53:41  59596.141     251682.1923
06:53:52  59606.203     251843.8403
06:54:02  59616.560     251097.5969
06:54:12  59626.619     251602.2295
06:54:22  59636.655     251807.1330
06:54:32  59646.686     251758.7949
06:54:42  59657.039     251594.6197
06:54:52  59667.078     251880.4063
06:55:03  59677.432     251926.5105
06:55:13  59687.489     251721.3663
06:55:23  59697.542     251803.5165
06:55:33  59708.068     251763.2602
06:55:43  59718.118     251920.5454
06:55:53  59728.151     251407.6269
06:56:04  59738.469     251472.3376
06:56:14  59748.512     251335.6476
06:56:24  59758.553     251511.0873
06:56:34  59768.920     251846.1139
06:56:45  59779.302     251619.2914
06:56:55  59789.367     251388.7069
06:57:05  59799.420     251859.3289
06:57:15  59809.487     251252.1467
06:57:25  59819.830     251156.8524
06:57:35  59829.895     251138.8136
06:57:45  59839.960     251538.3072
06:57:55  59849.990     251351.2056
06:58:05  59860.031     251666.1234
06:58:16  59870.368     251453.8730
06:58:26  59880.420     251293.8559
06:58:36  59890.464     251479.0275
06:58:46  59900.502     251757.7103
06:58:56  59910.566     251885.4922
06:59:06  59920.609     251304.6524
06:59:16  59930.685     251646.0759
06:59:26  59940.732     251323.7451
06:59:36  59950.824     251663.6614
06:59:46  59960.881     251750.9498
06:59:56  59970.951     251957.7002
07:00:06  59981.006     251962.6539
07:00:17  59991.344     251723.5185
07:00:27  60001.364     251997.8680
07:00:37  60011.416     251869.2153
07:00:47  60021.753     252088.7061
07:00:57  60031.784     251867.8028
07:01:07  60041.798     252220.7966
07:01:17  60051.879     252289.4853
07:01:27  60061.927     252409.0853
07:01:37  60071.955     252585.8540
07:01:47  60081.979     252357.5397
07:01:57  60092.039     252313.9870
07:02:07  60102.090     251979.4496
07:02:17  60112.141     252535.4874
07:02:27  60122.202     252968.9477
07:02:38  60132.258     252853.1626
07:02:48  60142.338     252500.9515
07:02:58  60152.391     252749.4287
07:03:08  60162.429     252654.3951
07:03:18  60172.483     252603.8949
07:03:28  60182.566     253054.6947
07:03:38  60192.600     252577.5706
07:03:48  60202.950     252924.0507
07:03:58  60213.012     252555.9330
07:04:08  60223.047     252914.5479
07:04:18  60233.078     252727.5382
07:04:28  60243.153     252745.3707
07:04:39  60253.509     252979.4987
07:04:49  60263.589     252762.6470
07:04:59  60273.631     253000.0679
07:05:09  60283.690     253105.7763
07:05:19  60293.715     253087.7003
07:05:29  60303.770     253352.3928
07:05:39  60313.842     253136.3880
07:05:49  60323.895     253423.7555
07:05:59  60333.958     253111.2571
07:06:09  60344.007     253158.0127
07:06:19  60354.058     253306.6312
07:06:29  60364.098     253314.8230
07:06:39  60374.164     253166.3134
07:06:50  60384.238     253145.6180
07:07:00  60394.293     253192.4967
07:07:10  60404.374     253066.1758
07:07:20  60414.738     253284.3355
07:07:30  60424.796     253392.2388
07:07:40  60434.844     253375.1890
07:07:51  60445.215     253353.8314
07:08:01  60455.857     253751.0550
07:08:11  60465.896     253423.3306
07:08:21  60475.963     252925.5325
07:08:32  60486.324     254018.2560
07:08:42  60496.371     253627.6091
07:08:52  60506.728     253774.9802
07:09:02  60517.098     253806.6525
07:09:12  60527.152     253240.5928
07:09:22  60537.200     253566.2525
07:09:33  60547.265     253699.7632
07:09:43  60557.326     253072.2550
07:09:53  60567.372     253900.8428
07:10:03  60577.431     253983.2414
07:10:13  60587.467     253972.4970
07:10:23  60597.562     253516.3852
07:10:33  60607.601     253714.2942
07:10:43  60617.687     253699.3795
07:10:53  60628.052     254153.7694
07:11:04  60638.414     254051.2344
07:11:14  60648.474     254217.9687
07:11:24  60658.827     253719.5673
07:11:34  60668.906     253829.1679
07:11:44  60678.958     254262.3446
07:11:54  60689.006     253969.3684
07:12:04  60699.068     253938.7594
07:12:14  60709.116     254009.8058
07:12:24  60719.164     253660.3586
07:12:34  60729.200     253736.3038
07:12:45  60739.246     253813.0000
07:12:55  60749.299     254126.9535
07:13:05  60759.358     253976.4294
07:13:15  60769.398     254227.0979
07:13:25  60779.793     253938.8459
07:13:35  60789.840     253626.7926
07:13:45  60799.906     254379.4273
07:13:55  60809.961     254010.4294
07:14:05  60819.994     253986.5628
07:14:15  60830.046     254006.7572
07:14:25  60840.117     254559.2569
07:14:36  60850.501     254021.0997
07:14:46  60860.546     254265.4917
07:14:56  60870.632     254242.1032
07:15:06  60880.661     253864.5570
07:15:16  60890.737     254519.5653
07:15:26  60900.821     254459.6688
07:15:36  60910.881     254585.3643
07:15:46  60920.939     254097.9717
07:15:56  60931.015     254340.5647
07:16:06  60941.052     254213.0314
07:16:16  60951.116     254698.5227
07:16:26  60961.175     254201.7121
07:16:37  60971.251     253953.2729
07:16:47  60981.299     253846.9666
07:16:57  60991.813     254174.6380
07:17:07  61001.856     253945.1897
07:17:18  61012.388     254557.9215
07:17:28  61022.440     254212.8145
07:17:38  61032.503     254852.1744
07:17:48  61042.541     254217.6743
07:17:58  61052.893     253923.2724
07:18:08  61062.971     254147.5856
07:18:18  61073.019     254134.0618
07:18:28  61083.077     254552.2101
07:18:38  61093.158     254132.9318
07:18:49  61103.220     254254.0255
07:18:59  61113.275     254095.3989
07:19:09  61123.345     254443.2500
07:19:19  61133.396     254658.4606
07:19:29  61143.471     254529.2351
07:19:39  61153.519     254102.9648
07:19:49  61163.587     254377.9346
07:19:59  61173.644     254027.7094
07:20:09  61183.729     254694.9188
07:20:19  61194.106     254283.7596
07:20:29  61204.146     254250.5004
07:20:40  61214.212     254710.0167
07:20:50  61224.587     254282.6324
07:21:00  61234.639     254453.2994
07:21:10  61244.720     254157.3869
07:21:20  61254.767     254254.1696
07:21:30  61264.820     254568.2060
07:21:40  61274.884     254275.4354
